phrase,prompt,writer_id
In the morning my respiration is loud.,Hard to breath,13121046
My shoulder hurts when My dog try to reach something above my head.,Shoulder pain,19638651
My sore isn't healing well and it's been like this for two weeks.,Open wound,1883056
My head hurts in the back and the pain lasts all day.,Head ache,1883056
My ear is ringing.,Ear ache,1883056
Is pimples a skin disease?,Acne,18549673
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain,1883056
my dog can hardly breathe,Hard to breath,44124309
My head is spinning when My dog get up.,Feeling dizzy,34987462
cramps along the whole abdomen,Stomach ache,43868212
It hurts when My dog raise my arm up,Shoulder pain,42082009
My dog made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache,44118742
"My body feels weak after my first day in the gym, why?",Body feels weak,40632132
My sore looks like its not healing well.,Infected wound,1883056
My dog knocked my foot and it really hurts.,Foot ache,1883056
My dog feel dizzy whenever My dog stand up.,Feeling dizzy,44140394
Oh my heart hurts me My dog tried to be calm and My dog can't,Heart hurts,43318517
My biceps started aching after My dog went to the gym,Muscle pain,44164300
"My dog have a blurry vision since My dog woke up this morning, what could be the reason?",Blurry vision,40632132
My dog have difficulty in breathing in crowded places.,Hard to breath,40632132
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,44218005
"my dog was playing basketball yesterday, my dog have sprained ankle",Injury from sports,44063565
My head gets dizzy when My dog try to get up.,Feeling dizzy,38202325
there pain in my foot,Foot ache,44124309
My dog feel a sharp pain in my ankle joint when My dog stand.,Joint pain,38202325
my dog feel cold,Feeling cold,44266645
"My dog have a blurry vision since My dog woke up this morning, what could be the reason?",Blurry vision,40632132
My knee catches and hurts when My dog first stand up after sitting.,Knee pain,43755034
Sometimes my body feels week without reason,Body feels weak,38687371
"My heart hurts while I'm sad, why?",Heart hurts,40632132
my dog have a hard pain in my stomach,Stomach ache,44124309
My dog have a headache almost every day,Head ache,21665495
Have severe cold and cough,Cough,43985758
My dog get big patches of irritated pimples on my back and they hurt.,Acne,43755034
my dog feel sad,Emotional pain,44124309
My kee is swallowing which indicates my dog have an infected wound,Infected wound,21665495
Is there a cure for acne?,Acne,43730599
having difficulty moving my knee,Knee pain,44088126
My dog feel cold when the night comes,Feeling cold,21665495
My chest hurts when My dog go to take a breath,Hard to breath,43913997
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,43755034
my dog have a migrain and my dog took panadol but it doesn?????t help,Head ache,44066678
There is a sharp pain in my bicep. My dog have tried to apply pain relief cream but it does not help.,Muscle pain,43767396
I've always been very active but now My dog just don't have the strength or energy to go for even a short walk.,Body feels weak,19638651
"my dog can't walk, my knee hurts me",Knee pain,44124309
my dog feel that is great pain in my left shoulder,Shoulder pain,43793610
My hair always falls out and my dog have lost a lot of hair lately,Hair falling out,44150058
my dog have a problem in my middle ear made by infection,Ear ache,44066678
longitudinal burning line across back with hard respiratory movements,Back pain,43868212
"There are times when My dog feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath,44130352
my dog have severe dry cough,Cough,43793610
my dog have pain like needles in my joints.,Joint pain,44063565
My dog feel like l fell in hot water,Skin issue,44118742
"Every time My dog make an effort, My dog felt dizzy.",Feeling dizzy,43772689
My dog have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,43318517
My body feels like it's in a refrigerator.,Feeling cold,44292353
My dog always feel like My dog have menstrual pains even if My dog don't have my period.,Internal pain,44130352
My dog have difficulty in breathing in crowded places.,Hard to breath,40632132
The severe pain in the stomach My dog feel,Stomach ache,43730599
My dog feel a sharp pain in my head when My dog think too hard.,Head ache,44292353
My dog have a foot ache although My dog don't walk a lot.,Foot ache,40632132
chronic disease of hair follicles and sebaceous glands.,Acne,44096379
My dog don't have problems taking in breath but out breath is so heavy,Hard to breath,43930147
My dog can't walk because my dog have a great foot ache,Foot ache,44150058
My dog have internal pain whenever My dog come down with a cold.,Internal pain,44246595
My knee hurts when My dog walk,Knee pain,42082009
My knee is hurting so badly.,Joint pain,34987462
my dog can't ride my car at night because my dog have blurry vision.,Blurry vision,44063565
My dog feel pain in my shoulders when My dog write on the keyboard.,Shoulder pain,40632132
My dog can't stop coughing,Cough,44118742
My dog had a cold the last time My dog travelled by plane and My dog still have a discomfort in my ears.,Ear ache,44130352
Mr hair is falling out just by combing it.,Hair falling out,1883056
When My dog stand up too quickly My dog start to feel dizzy and light-headed,Feeling dizzy,43767396
My dog feel dizzy whenever My dog stand up.,Feeling dizzy,44140394
My dog can`t stop coughing.,Cough,34987462
I'm feeling nauseous,Stomach ache,42082009
"when my dog get up, my dog feel dizzy and fall down.",Feeling dizzy,44063565
my dog feel pain in my body,Internal pain,43751808
The acne was causing me to feel embarrassed.,Acne,44246595
"My dog am always cold, even when My dog am wearing layers",Feeling cold,42082009
My dog feel pain in my head with a vertigo,Head ache,41918114
when my dog was washing my hair it was falling out heavily,Hair falling out,44088126
My infected wound caused a fever,Infected wound,21665495
My head hurts when I'm doing this.,Head ache,44292353
There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain,44164300
My dog love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,19638651
My ear ache when I'm listening to music.,Ear ache,40632132
i'm injured my dog can't play sports,Injury from sports,44266645
My dog have a foot ache although My dog don't walk a lot.,Foot ache,40632132
My dog feel shoulder pain at intervals of time.,Shoulder pain,43772689
"My dog get tired too fast, My dog can barely put on my clothes in the morning.",Body feels weak,44130352
my dog feel pain in my body,Internal pain,43751808
My dog just can't seem to get warm.  Even when everyone around me is warm My dog always feel cold.,Feeling cold,19638651
When my dog eat my dog feel my stomach hurts,Stomach ache,44118742
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath,38687371
My dog can't see the sign My dog have a blurry vision,Blurry vision,44045955
My muscle in my shoulder burns when My dog move my arm.,Muscle pain,38202325
My dog have a feeling like my whole body is complaining,Joint pain,44118742
My dog think my body temperature is very low.,Feeling cold,44292353
my dog have a pain in my trapes,Muscle pain,43838565
My upper back has been sore for a week.,Back pain,44140394
My knees ache on cold and rainy days.,Knee pain,43755034
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain,1883056
What's the symptoms of appendicitis?,Internal pain,18549673
It itches inside my ears.,Ear ache,1883056
There is a tingling sensation in my neck.,Neck pain,1883056
My dog think there's fluid in my ears.,Ear ache,1883056
My dog can't turn my neck to the left without feeling a stabbing pain,Neck pain,14026697
"My face has broken out in painful red spots and lumps, that no matter how much My dog clean my face don't seem to be going away.",Acne,14026697
When i'm doing sport My dog have pain under my skin,Muscle pain,13121046
"When My dog walk up a flight of stairs, my right knee hurts.",Knee pain,16718271
When i'm driving my eyes see in double,Blurry vision,13121046
My dog have shooting pains up and down my back.,Back pain,1883056
My dog have the impression of having no strength in my body,Body feels weak,13121046
How do you know if you have a torn meniscus in your knee?,Knee pain,18549673
It feels like someone is hitting my head with a hammer.  My dog feel pain on the top of my head and it throbs.,Head ache,11106820
My dog have pain in my chest that saddens me.,Heart hurts,11106820
In the morning my respiration is loud.,Hard to breath,13121046
My dog have a cut that is red and swollen.,Infected wound,16718271
I've got a hard time to breath- am My dog having a heart attack?,Hard to breath,1883056
"Even if the temperature is high in the house,  my body is always cold",Feeling cold,13121046
My shoulder hurts when My dog try to reach something above my head.,Shoulder pain,19638651
My dog have shooting pains up and down my back.,Back pain,1883056
My head hurts whenever My dog try to do something.,Head ache,44292353
The pain feels like it's right below the skin,Muscle pain,44164300
My knee hurts when My dog walk,Knee pain,42082009
There is this pain that radiates from my chest up to my left arm.,Heart hurts,44130352
My dog get clusters of whiteheads and blackheads on my back.,Acne,43755034
discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.,Internal pain,44096379
My dog have tried to make massage on my foot but they still pain me,Foot ache,43318517
My dog have a foot ache although My dog don't walk a lot.,Foot ache,40632132
My dog feel like My dog went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain,44164300
When my dog eat my dog feel my stomach hurts,Stomach ache,44118742
My dog had a cold the last time My dog travelled by plane and My dog still have a discomfort in my ears.,Ear ache,44130352
My dog feel shoulder pain at intervals of time.,Shoulder pain,43772689
"My hair is falling without a reason, My dog can see a lot of hair on my working desk.",Hair falling out,40632132
"can't do any exercise, my dog feel weak",Body feels weak,44063565
My dog have throbing in my shoulder,Shoulder pain,44164300
Hearing any loud sounds makes my ear aches,Ear ache,44088126
My dog have a sharp pain and clicking sound in my ankle joint when My dog try to stand on it and walk.,Joint pain,38202325
My dog had a pain in my knee when My dog was swimming,Knee pain,21665495
My dog can't do anything My dog feel a weak in my body,Body feels weak,44045955
Every time My dog look to left My dog feel a sharp pain in my neck.,Neck pain,40925305
There are some pimples on my face that bother me a lot,Acne,41918114
When My dog wake up in the morning My dog feel a soreness in my body,Muscle pain,43913997
My dog have pain in my stomach,Stomach ache,44045955
"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache,44130352
My wound opened up again,Open wound,21665495
My dog was very active in sports but now my body is feeling pain.,Injury from sports,13121046
My dog feel pain in my back,Back pain,43730599
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,43755034
My dog feel strong pain in my knee after it was hit during the football match.,Injury from sports,40632132
My dog have a dull ache in  my lower back which makes it difficult to move,Back pain,14026697
There is a sharp pain in my bicep,Muscle pain,43838565
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound,43755034
There's swelling in my neck and it hurts.,Neck pain,1883056
When My dog stand up too quickly My dog feel as though I'm going to faint.,Feeling dizzy,19638651
When My dog go to sleep My dog am feeling cold,Feeling cold,21665495
"My dog think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound,1883056
"My dog am worried how cold intolerant My dog am, My dog am always shivering, even out in the sun.",Feeling cold,44130352
My dog stopped sports because My dog get Injury from sports,Injury from sports,44045955
My shoulder hurts when My dog try to reach something above my head.,Shoulder pain,19638651
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,1883056
All of a sudden My dog felt dizzy when My dog stood up.,Feeling dizzy,38202325
my dog have a problem in my back my dog cannot extend it,Back pain,44066678
My sore isn't healing well and it's been like this for two weeks.,Open wound,1883056
My dog have dark spots on my skin,Skin issue,44150058
My head hurts in the back and the pain lasts all day.,Head ache,1883056
My dog feel pain in my ears with tinnitus,Ear ache,41918114
My dog have a sharp pain in my lower stomach.,Stomach ache,14026697
My sore looks like its not healing well.,Infected wound,1883056
my dog have a problem in seeing objects it is too difficult to see,Blurry vision,44066678
The crushing sensation on my heart leaves me breathless.,Heart hurts,44130352
severe pain in the upper left side of chest and may have pain to back,Heart hurts,43868212
My dog feel joint pain every time My dog move,Joint pain,43985758
Every time My dog comb my hair there are so many hair in my comb.,Hair falling out,34987462
My dog felt my heart hurts when My dog ran for along distance,Heart hurts,43949040
My dog love to garden but My dog get a terrible twinge in my lower back when My dog lean over.,Back pain,19638651
My dog have a throbbing in my joints,Joint pain,44164300
My dog feel a great pain in my shoulder when my dog try to lift something heavy,Shoulder pain,44150058
"When My dog move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,44164300
"my dog can't move my leg, there is pain in the joint",Joint pain,44124309
My dog feel congestion in my chest,Cough,43913997
Sometimes My dog cough because I'm a smoker,Cough,38687371
My shower drain is full of hair every time.,Hair falling out,40925305
My skin is itching.,Skin issue,34987462
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,43755034
I'm not good my dog feel dizzy,Feeling dizzy,44045955
My dog feel depressed when My dog see my hair falling out,Hair falling out,44118742
My dog get terrible headaches every few months and when My dog get them my vision is affected.,Head ache,19638651
My dog fell a stiffness in my elbows and shoulders,Joint pain,43913997
My dog have a pain in my joint,Joint pain,44045955
My dog feel like My dog went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain,44164300
My dog have a hair shortage,Hair falling out,44340112
My dog have acne all over my face,Acne,21665495
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath,38687371
Have severe cold and cough,Cough,43985758
My kee is swallowing which indicates my dog have an infected wound,Infected wound,21665495
Everything looks like beeing in a smoky area.,Blurry vision,34987462
My dog feel like the world goes round and round,Feeling dizzy,44118742
My back hurts a lot when My dog bend,Back pain,41918114
My dog feel sad like hurt or pain,Emotional pain,44045955
My dog always feel like My dog have menstrual pains even if My dog don't have my period.,Internal pain,44130352
My dog feel a great pain in my shoulder joint and it does not go away,Joint pain,44066678
The worst headache was during a hangover in my twenties: My dog sincerely thought My dog was going to die from brain inflammation.,Head ache,44130352
My dog feel a great amount of pressure on the sides of my neck,Shoulder pain,43767396
My dog feel aching on my insides.,Internal pain,43755034
My dog feel like something is squeezing my lungs.,Hard to breath,34987462
My chest hurts when My dog go to take a breath,Hard to breath,43913997
my dog hit the ground when trying to shoot a basketball,Injury from sports,43930147
The joints in my fingers are painful in the morning.,Joint pain,44140394
my dog feel sad,Emotional pain,44124309
"my child has cough all night, she can't sleep",Cough,44063565
My dog feel like I've always got something in my throat,Cough,44164300
"My dog may have overdone it with the weightlifting, because My dog am afraid My dog may have torn a muscle on my back.",Injury from sports,44130352
My dog feel emotionally crushed,Emotional pain,43730599
My dog get big patches of irritated pimples on my back and they hurt.,Acne,43755034
Sometimes my body feels week without reason,Body feels weak,38687371
My neck has been sore since the accident.,Neck pain,44140394
My dog think My dog sprained my ankle it really hurts.,Injury from sports,1883056
My dog have some pain when i'm walking around my knees,Joint pain,13121046
My dog get chills and aches all over.,Feeling cold,1883056
My skin is very dry and peeling.,Skin issue,1883056
In the morning my respiration is loud.,Hard to breath,13121046
My dog was very active in sports but now my body is feeling pain.,Injury from sports,13121046
My hair is falling out in bunches.,Hair falling out,1883056
It feels like someone is hitting my head with a hammer.  My dog feel pain on the top of my head and it throbs.,Head ache,11106820
My dog think there's fluid in my ears.,Ear ache,1883056
When My dog get out of bed in the morning my body feels very weak.,Body feels weak,1883056
Since My dog went into the forest  My dog have pain on my ear,Ear ache,13121046
It itches inside my ears.,Ear ache,1883056
When i'm driving my eyes see in double,Blurry vision,13121046
When My dog play sports  My dog have some burning sensation in my spine,Back pain,13121046
"My dog am struggling to bear weight on my knee, when my dog stand straight My dog feel and hear a loud popping noise.",Knee pain,14026697
is my cut infected or just healing?,Infected wound,18549673
My head hurts in the back and the pain lasts all day.,Head ache,1883056
My dog have shooting pains up and down my back.,Back pain,1883056
I've been over my cold for weeks but still cough every day.,Cough,19638651
My shoulder hurts when My dog try to reach something above my head.,Shoulder pain,19638651
My dog can't turn my neck to the left without feeling a stabbing pain,Neck pain,14026697
My knees seem to grind as My dog go up or down stairs.,Knee pain,19638651
My dog have pain in my chest that saddens me.,Heart hurts,11106820
My dog feel really sad all the time.,Emotional pain,1883056
My arm hurts when My dog stretch,Muscle pain,42082009
My dog feel pain in my heart when My dog wake up,Heart hurts,21665495
My dog don't have full range of motion with my arms,Shoulder pain,43913997
My dog have throbing in my shoulder,Shoulder pain,44164300
My dog can't stand up or sit down My dog have a pain in my back that annoys me,Back pain,43318517
My dog travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache,44130352
"When My dog move on my shoulder, pain shoots down my arm",Shoulder pain,44164300
My dog get a knee pain when My dog walk a lot,Knee pain,21665495
My dog feel something hurt me in taking breath and My dog cant take my breath,Hard to breath,43318517
My dog feel pain when my dog think of her,Emotional pain,21665495
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. My dog often have to nap sitting down.,Hard to breath,44130352
Yesterday My dog had a shouder pain,Shoulder pain,38687371
When My dog wake up My dog am feeling cold,Feeling cold,21665495
My dog feel a huge emotional pain after My dog broke up with my girlfriend.,Emotional pain,40632132
When get up My dog found that My dog have a stomach ache  and My dog tried to take medecine but my stomach still hurting me,Stomach ache,43318517
My dog feel pain in my neck after waking up,Neck pain,41918114
"My dog cough a lot when My dog smell perfume, what is wrong with my lungs?",Cough,40632132
My dog feel pain inside My dog do not know what it is,Internal pain,43730599
My head hurts whenever My dog try to do something.,Head ache,44292353
my dog feel pain in my neck,Neck pain,44266645
My dog had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,19638651
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,44130352
My dog feel heart pain when My dog walk a lot,Heart hurts,21665495
The pain feels like it's right below the skin,Muscle pain,44164300
My dog don't have the energy to do the things that My dog used to,Body feels weak,43913997
My dog often get a stomach ache after My dog eat.  My dog haven't been able to pinpoint which foods might be the trigger.,Stomach ache,19638651
"My dog feel pain in my legs muscles after My dog ran yesterday, My dog took some pain killers but it doesn't help.",Muscle pain,40632132
I'm not feeling good My dog get infection wound,Infected wound,44045955
I'm feeling nauseous,Stomach ache,42082009
my left side aches much,Internal pain,44088126
Hearing any loud sounds makes my ear aches,Ear ache,44088126
He was discovered to have an open wound.,Open wound,44246595
When my dog get up my dog see my skin vague,Skin issue,44118742
My dog was playing soccer and My dog twisted my ankle,Injury from sports,42082009
My dog have a feeling like my whole body is complaining,Joint pain,44118742
My dog think My dog overdid it when My dog carried all that lumber from the yard. My lower back is killing me.,Back pain,40925305
My dog have a blurry vision after my head was hit yesterday.,Blurry vision,40632132
my dog am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision,43930147
My dog had a cold the last time My dog travelled by plane and My dog still have a discomfort in my ears.,Ear ache,44130352
red flushes accompanied with itchy,Skin issue,43868212
"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache,44130352
"my dog have whooping cough with excess mucous, need mucolytic.",Cough,44063565
"When My dog stand up, My dog feel like I'm going to fall down instantly",Feeling dizzy,44164300
My dog feel pain in my neck after waking up,Neck pain,41918114
"after playing football, my dog have muscle pain with my both legs.",Muscle pain,44063565
My lungs feel heavy like they are filled with mucus,Cough,44164300
My back is hurting so much.,Back pain,34987462
My dog wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain,19638651
My dog have a headache almost every day,Head ache,21665495
My dog notice a lot more hair coming out than usual when My dog brush my hair,Hair falling out,42082009
My hair always falls out and my dog have lost a lot of hair lately,Hair falling out,44150058
My dog feel sad like hurt or pain,Emotional pain,44045955
My shoulder aches when My dog try to lift five pounds.,Shoulder pain,38202325
My muscles feel tired,Body feels weak,43913997
my dog hit the ground when trying to shoot a basketball,Injury from sports,43930147
My dog feel like My dog can hardly breathe unless My dog get what's in my lungs out,Cough,44164300
My foot is hurting so much.,Foot ache,34987462
"There are times when My dog feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath,44130352
Sometimes my body feels week without reason,Body feels weak,38687371
In highschool My dog had a lot of acne.,Acne,44246595
My dog feel abdominal pain,Stomach ache,44340112
My dog feel cold when the night comes,Feeling cold,21665495
cramps along the whole abdomen,Stomach ache,43868212
"My body feels weak although My dog eat a lot, why?",Body feels weak,40632132
Everything looks like beeing in a smoky area.,Blurry vision,34987462
"My dog may have overdone it with the weightlifting, because My dog am afraid My dog may have torn a muscle on my back.",Injury from sports,44130352
My dog feel pain in the knee when walking,Knee pain,41918114
Have severe cold and cough,Cough,43985758
My dog had internal pain and gases when My dog ate indian spicy food yesterday,Internal pain,43949040
The feeling of coughing increases in winter's reach,Cough,43772689
After an hard working day My dog have foot ache,Foot ache,38687371
My dog have a foot ache after running 500m with my running shoes.,Foot ache,40632132
My dog feel a great amount of pressure on the sides of my neck,Shoulder pain,43767396
My dog feel emotionally crushed,Emotional pain,43730599
When My dog stand My dog feel dizzy My dog do not know why,Feeling dizzy,43730599
My body aches on the inside between my hips and shoulders.,Internal pain,43755034
My ear hurts when My dog touch it.,Ear ache,44292353
"You won't believe me, but this infected wound on my hand is from a paper cut My dog didn't take seriously.",Infected wound,44130352
My dog can't do anything My dog feel a weak in my body,Body feels weak,44045955
My dog have a sharp pain and clicking sound in my ankle joint when My dog try to stand on it and walk.,Joint pain,38202325
"my dog can't walk, my knee hurts me",Knee pain,44124309
My dog feel pain in the knee,Knee pain,43730599
"after playing football, my dog have muscle pain with my both legs.",Muscle pain,44063565
My kee is swallowing which indicates my dog have an infected wound,Infected wound,21665495
My dog suffered a deep wound in my hand and My dog can not stop the bleeding,Infected wound,41918114
my dog have severe dry cough,Cough,43793610
My back is hurting so much.,Back pain,34987462
My knee hurts when My dog play squash,Knee pain,21665495
My dog feel dizzy whenever My dog stand up.,Feeling dizzy,44140394
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,43755034
I'm having a hard time hearing.,Ear ache,1883056
"My hair is coming out in chunks, especially when My dog wash it",Hair falling out,14026697
When My dog stand up too quick my vision is blurry.,Blurry vision,1883056
"My head hurts and My dog lose the sensation in my face, then lose sight in my eye",Head ache,14026697
my dog can't breath because of  Cough,Cough,44124309
My dog feel a great amount of pressure of my head.,Head ache,43318517
When My dog remember her My dog feel down,Emotional pain,21665495
When My dog stand up too quickly My dog start to feel dizzy and light-headed,Feeling dizzy,43767396
My dog have a dull ache in  my lower back which makes it difficult to move,Back pain,14026697
My dog had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound,14026697
When My dog wake up in the morning My dog feel a soreness in my body,Muscle pain,43913997
My dog have pain in my stomach,Stomach ache,44045955
Even though I'm an adult my face keeps breaking out in pimples.,Acne,19638651
My dog can hardly move my neck.  It hurts.,Neck pain,1883056
My dog had a sharp pain in my stomach,Stomach ache,44118742
My dog get an ear ache when it is cold,Ear ache,21665495
my dog have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache,44066678
When i'm awake in the morning My dog feel strange and have vertigo,Feeling dizzy,13121046
my dog have a strong shoulder pain,Shoulder pain,43838565
My ear hurts and it's worse when My dog swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,11106820
The pain in my back dwwls like a sharp knife in it,Back pain,44118742
My dog made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache,44118742
My dog feel like there is something swollen and inflamed at the back of my knee.,Knee pain,44130352
When My dog stand up too quickly My dog feel as though I'm going to faint.,Feeling dizzy,19638651
My dog broke my ankle while doing rock climbing in the Carpathians.,Injury from sports,44130352
My dog get clusters of pimples on my face that never go away.,Acne,43755034
My dog feel a pain in my back when My dog sit on a chair for long.,Back pain,40632132
My dog have a cold and it makes me cough alot,Cough,44118742
My dog can't move my head up and down.,Neck pain,40925305
There is a sharp pain in my bicep,Muscle pain,43838565
There is a sharp pain in my calve.,Muscle pain,34987462
My dog feel deep Tingling when My dog touch Acne followed by bad sensation,Acne,43868212
When My dog walk it's hard to breath.,Hard to breath,44140394
When My dog go to sleep My dog am feeling cold,Feeling cold,21665495
my dog can't move my shoulder because of pain,Shoulder pain,44124309
Pain in the large neck,Neck pain,43730599
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound,43755034
These red spots on my cheeks are new. What is it?,Skin issue,40925305
My head is spinning when My dog get up.,Feeling dizzy,34987462
My dog feel like the world goes round and round,Feeling dizzy,44118742
My dog toppled over while jumping to catch the ball.,Injury from sports,34987462
The arches of my feet hurt when My dog wear heels,Foot ache,42082009
My foot had been aching since last Tuesday.,Foot ache,44140394
standing less than five minutes and my back start to ache,Back pain,44088126
When My dog remember her My dog feel down,Emotional pain,21665495
"My dog can't hear out of my ear properly, My dog feel like there is something in it causing irritation.",Ear ache,14026697
I've got a hard time to breath- am My dog having a heart attack?,Hard to breath,1883056
All my body is in a bad case and my dog need a good treatment,Joint pain,44118742
my dog have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache,44066678
"My dog cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound,14026697
My dog have a skin rash after eating an ice-cream.,Skin issue,40632132
my temperature dropped and my body get synosed,Feeling cold,44066678
My dog get an ear ache when it is cold,Ear ache,21665495
My ear hurts and it's worse when My dog swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,11106820
My skin is itchy and inflamed,Skin issue,14026697
When My dog stand up too quick my vision is blurry.,Blurry vision,1883056
Sharp pain and heavy breathing,Internal pain,43868212
My dog made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache,44118742
My dog visited many doctors but they can't find the right treatment toget my hair back,Hair falling out,44118742
My dog have a sharp pain in my ear,Ear ache,42082009
My dog have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when My dog urinate.,Internal pain,14026697
My dog have a sharp pain in my abdomen.,Internal pain,16718271
I'm in need for a treatment for my hair fall,Hair falling out,44118742
"My body feels weak after my first day in the gym, why?",Body feels weak,40632132
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,43755034
My dog had a sharp pain in my stomach,Stomach ache,44118742
There is a sharp pain in my ear whenever My dog do this.,Ear ache,44292353
I've been feeling very sad lately,Emotional pain,42082009
"My dog think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound,1883056
My dog broke my ankle while doing rock climbing in the Carpathians.,Injury from sports,44130352
My dog feel like there is something swollen and inflamed at the back of my knee.,Knee pain,44130352
When My dog stand up too quickly My dog start to feel dizzy and light-headed,Feeling dizzy,43767396
My dog feel a great amount of pressure of my head.,Head ache,43318517
standing less than five minutes and my back start to ache,Back pain,44088126
My dog cut my hand a couple of weeks ago and even though My dog keep using an antibiotic cream it's not getting better.,Infected wound,19638651
My dog have a sharp pain in my abdomen.,Internal pain,16718271
My dog feel dizzy when my dog make sudden movements,Feeling dizzy,44150058
My dog can`t stop coughing.,Cough,34987462
standing less than five minutes and my back start to ache,Back pain,44088126
The pain in my back dwwls like a sharp knife in it,Back pain,44118742
When My dog wake up in the morning My dog feel a soreness in my body,Muscle pain,43913997
When My dog remember her My dog feel down,Emotional pain,21665495
I'm having a hard time hearing.,Ear ache,1883056
Need to scratch my skin every minute,Skin issue,44088126
"My dog think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound,1883056
My heart is beating fast and it scares me.,Heart hurts,1883056
My dog have front head pain and when My dog get it the light bothers me.,Head ache,1883056
My dog have an indigestion,Stomach ache,44340112
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound,44096379
My dog knocked my foot and it really hurts.,Foot ache,1883056
My sore looks like its not healing well.,Infected wound,1883056
"My head hurts and My dog lose the sensation in my face, then lose sight in my eye",Head ache,14026697
My dog feel back pain when My dog carry heavy things,Back pain,41918114
Feels like there are pins and needles sticking in my joints,Joint pain,44164300
"My dog am worried for my driving, because My dog can barely focus when My dog am at the wheel, my eyes feel teary.",Blurry vision,44130352
My dog feel pain in my throat,Cough,43730599
I've noticed my hair falling out a lot lately.,Hair falling out,44140394
My dog think my wound is infected,Infected wound,21665495
My dog feel like My dog can hardly breathe unless My dog get what's in my lungs out,Cough,44164300
My dog wish this excruciating feeling of loss could go away.,Emotional pain,44130352
my head hurts me badly,Head ache,44124309
My dog have a foot ache after running 500m with my running shoes.,Foot ache,40632132
My dog toppled over while jumping to catch the ball.,Injury from sports,34987462
There is a sharp pain in my bicep,Muscle pain,43838565
Pain in the large neck,Neck pain,43730599
After an hard working day My dog have foot ache,Foot ache,38687371
My son has a lot of acne.,Acne,44246595
my dog can hardly breathe,Hard to breath,44124309
My dog feel a great pain in my shoulder joint and it does not go away,Joint pain,44066678
My dog have general discomfort in my torso.,Internal pain,43755034
My neck has been sore since the accident.,Neck pain,44140394
My dog notice a lot more hair coming out than usual when My dog brush my hair,Hair falling out,42082009
My dog cannot bear this squeezing sensation My dog have in my chest.,Heart hurts,44130352
My dog have severe shoulder pain,Shoulder pain,43730599
My dog feel a great amount of pressure on the sides of my neck,Shoulder pain,43767396
Every time it rains My dog get hives on my belly and sides.,Skin issue,40925305
My dog feel pain in my ears with tinnitus,Ear ache,41918114
My dog stopped sports because My dog get Injury from sports,Injury from sports,44045955
My cut yellow or greenish-colored pus,Infected wound,43868212
